run number,total penalty,conflict penalty,gap penalty,capacity penalty,runtime,iteration progression0,597,381,94,10,128.41,"[2441, 2422, 2326, 2293, 2248, 2223, 2095, 2050, 2041, 1987, 1974, 1970, 1914, 1908, 1779, 1761, 1738, 1729, 1726, 1705, 1647, 1643, 1638, 1617, 1588, 1584, 1530, 1517, 1500, 1498, 1496, 1477, 1431, 1428, 1401, 1395, 1393, 1378, 1348, 1340, 1334, 1329, 1310, 1302, 1298, 1287, 1285, 1278, 1276, 1266, 1258, 1244, 1234, 1220, 1198, 1192, 1191, 1183, 1174, 1147, 1121, 1105, 1103, 1099, 1094, 1080, 1067, 1066, 1065, 1051, 1050, 1044, 1041, 1024, 1023, 999, 998, 995, 974, 972, 966, 946, 943, 914, 890, 850, 848, 846, 843, 838, 832, 824, 811, 809, 793, 791, 774, 771, 767, 766, 756, 755, 750, 745, 728, 722, 711, 710, 708, 707, 679, 676, 669, 667, 666, 660, 657, 656, 649, 645, 643, 641, 640, 635, 622, 620, 619, 617, 613, 610, 609, 599, 598, 597]"
1,625,395,132,15,122.503,"[2169, 2133, 2091, 2040, 1982, 1975, 1893, 1884, 1875, 1874, 1872, 1868, 1850, 1849, 1772, 1748, 1724, 1696, 1657, 1648, 1629, 1589, 1584, 1582, 1542, 1539, 1520, 1514, 1507, 1502, 1498, 1489, 1487, 1472, 1438, 1401, 1381, 1367, 1361, 1343, 1329, 1305, 1256, 1247, 1246, 1243, 1216, 1212, 1199, 1195, 1189, 1167, 1156, 1133, 1130, 1129, 1126, 1111, 1088, 1080, 1075, 1071, 1044, 1032, 1015, 1008, 998, 995, 993, 985, 971, 965, 957, 956, 954, 953, 946, 945, 943, 937, 934, 928, 925, 905, 904, 902, 885, 877, 871, 870, 863, 841, 835, 831, 827, 824, 823, 814, 806, 794, 782, 777, 762, 757, 756, 755, 753, 744, 743, 741, 740, 734, 733, 730, 729, 728, 723, 722, 709, 708, 707, 704, 698, 693, 691, 690, 687, 685, 684, 683, 677, 663, 662, 661, 656, 650, 640, 636, 629, 625]"
2,673,423,178,15,119.665,"[2429, 2364, 2340, 2293, 2283, 2282, 2224, 2217, 2163, 2155, 2116, 2105, 2076, 2052, 2043, 2038, 2004, 1995, 1964, 1959, 1873, 1830, 1810, 1804, 1771, 1739, 1727, 1700, 1647, 1630, 1627, 1617, 1572, 1568, 1546, 1540, 1508, 1501, 1477, 1439, 1435, 1415, 1403, 1386, 1383, 1369, 1366, 1354, 1318, 1315, 1313, 1312, 1296, 1280, 1272, 1271, 1247, 1242, 1231, 1205, 1197, 1184, 1181, 1180, 1175, 1172, 1171, 1163, 1162, 1152, 1148, 1144, 1143, 1124, 1121, 1120, 1107, 1094, 1088, 1059, 1056, 1018, 1007, 995, 993, 984, 979, 960, 945, 933, 932, 918, 910, 886, 885, 877, 876, 854, 839, 838, 828, 814, 813, 811, 806, 805, 804, 797, 796, 792, 791, 780, 776, 773, 771, 754, 748, 743, 738, 736, 731, 728, 718, 716, 704, 703, 702, 700, 699, 695, 693, 692, 688, 686, 681, 675, 673]"
3,611,400,99,5,116.652,"[2424, 2402, 2343, 2244, 2188, 2184, 2164, 2146, 2115, 2096, 2078, 2076, 2075, 2061, 2024, 1989, 1975, 1974, 1955, 1947, 1919, 1893, 1883, 1799, 1796, 1756, 1746, 1682, 1672, 1665, 1663, 1655, 1646, 1635, 1595, 1590, 1584, 1578, 1539, 1500, 1465, 1453, 1446, 1430, 1416, 1409, 1404, 1391, 1379, 1368, 1361, 1360, 1351, 1284, 1277, 1268, 1259, 1250, 1246, 1234, 1219, 1211, 1203, 1199, 1196, 1160, 1159, 1151, 1139, 1125, 1123, 1094, 1093, 1086, 1071, 1057, 1047, 1027, 999, 993, 992, 989, 985, 973, 972, 969, 943, 933, 931, 925, 905, 900, 895, 886, 873, 865, 850, 841, 839, 831, 827, 824, 821, 813, 803, 801, 791, 786, 780, 775, 774, 773, 768, 761, 755, 735, 726, 724, 723, 721, 702, 694, 684, 679, 678, 676, 664, 662, 658, 654, 651, 650, 646, 641, 635, 630, 627, 625, 623, 617, 614, 611]"
