run number,total penalty,conflict penalty,gap penalty,capacity penalty,runtime,iteration progression
0,551,326,121,20,127.721,"[2441, 2436, 2436, 2436, 2420, 2420, 2420, 2395, 2393, 2393, 2380, 2367, 2367, 2367, 2344, 2336, 2311, 2172, 2172, 2172, 2149, 2149, 2149, 2113, 2108, 2108, 2108, 2108, 2108, 2108, 2086, 2086, 2040, 2040, 2008, 1886, 1886, 1812, 1812, 1812, 1807, 1807, 1807, 1807, 1777, 1777, 1777, 1777, 1777, 1777, 1777, 1777, 1765, 1762, 1745, 1745, 1718, 1718, 1720, 1720, 1720, 1708, 1708, 1708, 1708, 1708, 1708, 1708, 1695, 1695, 1695, 1695, 1694, 1694, 1694, 1694, 1694, 1694, 1693, 1693, 1693, 1632, 1628, 1628, 1620, 1620, 1618, 1601, 1600, 1601, 1601, 1601, 1601, 1587, 1579, 1579, 1579, 1579, 1579, 1579, 1578, 1578, 1570, 1570, 1570, 1549, 1544, 1528, 1521, 1521, 1521, 1521, 1521, 1521, 1519, 1519, 1519, 1502, 1501, 1501, 1501, 1501, 1501, 1492, 1492, 1492, 1465, 1451, 1451, 1451, 1451, 1451, 1451, 1451, 1451, 1451, 1451, 1447, 1440, 1437, 1437, 1432, 1432, 1432, 1432, 1432, 1432, 1432, 1432, 1432, 1419, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1386, 1386, 1386, 1386, 1384, 1352, 1352, 1352, 1352, 1352, 1352, 1352, 1352, 1352, 1346, 1346, 1346, 1346, 1346, 1346, 1346, 1344, 1344, 1337, 1337, 1332, 1330, 1323, 1323, 1323, 1323, 1323, 1323, 1312, 1311, 1302, 1277, 1277, 1277, 1277, 1277, 1277, 1277, 1228, 1225, 1225, 1225, 1221, 1220, 1220, 1220, 1220, 1193, 1193, 1193, 1193, 1184, 1184, 1184, 1164, 1160, 1160, 1159, 1159, 1159, 1159, 1159, 1159, 1116, 1116, 1116, 1116, 1098, 1086, 1086, 1086, 1086, 1078, 1078, 1078, 1063, 1058, 1058, 1058, 1058, 1058, 1058, 1058, 1058, 1058, 1056, 1056, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1021, 1021, 1021, 1021, 1021, 1021, 1021, 1021, 1013, 1013, 1013, 1013, 1013, 1013, 1013, 1013, 1005, 1005, 1005, 1002, 1002, 1002, 1002, 1002, 995, 995, 995, 996, 996, 996, 996, 980, 974, 975, 975, 975, 975, 975, 975, 975, 975, 975, 955, 955, 955, 955, 955, 955, 955, 955, 955, 955, 955, 955, 955, 955, 940, 940, 939, 936, 936, 936, 936, 936, 936, 934, 934, 934, 925, 925, 925, 923, 923, 913, 913, 913, 913, 874, 874, 874, 874, 874, 874, 874, 867, 867, 849, 849, 849, 849, 849, 849, 849, 849, 849, 849, 849, 849, 831, 831, 831, 815, 815, 815, 815, 815, 815, 815, 815, 815, 809, 809, 809, 809, 792, 734, 734, 734, 734, 734, 734, 734, 734, 734, 734, 734, 722, 722, 722, 722, 722, 711, 711, 711, 711, 711, 711, 711, 711, 705, 705, 705, 705, 705, 705, 705, 705, 705, 705, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 702, 700, 700, 700, 700, 700, 700, 700, 700, 700, 700, 700, 700, 700, 700, 679, 679, 679, 679, 679, 679, 679, 679, 679, 679, 679, 679, 679, 679, 679, 679, 679, 679, 679, 679, 669, 669, 669, 669, 669, 664, 664, 664, 664, 659, 659, 659, 658, 658, 658, 658, 658, 658, 658, 658, 658, 658, 658, 658, 658, 658, 658, 658, 658, 658, 658, 658, 658, 658, 658, 658, 658, 658, 658, 658, 658, 654, 654, 654, 654, 654, 654, 654, 654, 654, 654, 654, 654, 654, 654, 654, 654, 654, 648, 648, 648, 648, 648, 648, 648, 648, 648, 642, 642, 642, 642, 642, 642, 642, 642, 642, 642, 642, 642, 642, 642, 642, 642, 642, 642, 642, 642, 642, 638, 638, 638, 638, 632, 632, 632, 632, 632, 632, 632, 632, 632, 632, 632, 631, 631, 631, 624, 624, 624, 624, 624, 624, 621, 621, 620, 620, 620, 620, 620, 620, 620, 620, 620, 620, 620, 620, 620, 620, 620, 620, 620, 620, 620, 620, 620, 620, 620, 609, 609, 609, 609, 611, 611, 611, 611, 611, 611, 611, 611, 611, 611, 611, 611, 611, 611, 611, 611, 611, 611, 611, 611, 611, 611, 611, 611, 611, 611, 611, 606, 606, 606, 606, 606, 606, 606, 606, 606, 606, 606, 606, 606, 606, 606, 606, 606, 606, 606, 606, 606, 606, 606, 606, 606, 606, 606, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 589, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 562, 562, 562, 562, 562, 562, 562, 562, 562, 562, 562, 558, 558, 558, 558, 558, 558, 558, 558, 558, 558, 558, 558, 558, 558, 554, 554, 554, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 551, 551, 551, 551, 551, 551, 551, 551, 551, 551, 551, 551, 551, 551, 551, 551, 551]"
1,517,367,57,15,121.644,"[2451, 2403, 2399, 2399, 2380, 2380, 2380, 2380, 2376, 2293, 2293, 2291, 2284, 2284, 2284, 2284, 2284, 2284, 2264, 2264, 2264, 2261, 2261, 2261, 2261, 2261, 2241, 2195, 2195, 2195, 2195, 2184, 2184, 2160, 2159, 2159, 2159, 2159, 2159, 2159, 2159, 2159, 2142, 2142, 2142, 2137, 2137, 2137, 2137, 2137, 2137, 2137, 2124, 2115, 2070, 1988, 1982, 1980, 1980, 1980, 1968, 1968, 1968, 1854, 1854, 1854, 1833, 1833, 1810, 1752, 1746, 1717, 1717, 1710, 1699, 1699, 1695, 1695, 1655, 1655, 1605, 1605, 1604, 1604, 1604, 1583, 1579, 1568, 1537, 1537, 1537, 1537, 1537, 1537, 1537, 1535, 1535, 1516, 1516, 1503, 1498, 1498, 1475, 1475, 1475, 1454, 1454, 1443, 1443, 1443, 1331, 1331, 1331, 1330, 1330, 1330, 1312, 1288, 1288, 1288, 1288, 1288, 1288, 1288, 1287, 1287, 1275, 1275, 1275, 1274, 1274, 1275, 1268, 1260, 1260, 1260, 1246, 1246, 1246, 1246, 1246, 1246, 1230, 1230, 1230, 1230, 1226, 1226, 1226, 1226, 1219, 1221, 1221, 1213, 1213, 1213, 1206, 1206, 1206, 1203, 1203, 1199, 1199, 1199, 1199, 1172, 1172, 1172, 1172, 1172, 1135, 1135, 1135, 1135, 1135, 1135, 1135, 1135, 1135, 1135, 1121, 1120, 1111, 1111, 1111, 1108, 1108, 1091, 1091, 1086, 1086, 1086, 1086, 1086, 1086, 1087, 1087, 1087, 1084, 1084, 1084, 1084, 1079, 1079, 1079, 1079, 1079, 1079, 1079, 1026, 1026, 1006, 1006, 1006, 1006, 1005, 1005, 1005, 997, 997, 982, 982, 982, 977, 977, 977, 977, 956, 956, 956, 956, 956, 956, 956, 950, 950, 950, 950, 950, 950, 950, 950, 920, 920, 920, 920, 920, 920, 922, 922, 922, 922, 922, 924, 924, 924, 924, 924, 924, 924, 924, 924, 924, 899, 891, 891, 891, 891, 891, 891, 891, 890, 890, 890, 877, 875, 873, 873, 873, 873, 873, 867, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 841, 841, 841, 841, 802, 802, 802, 802, 802, 802, 802, 802, 802, 802, 802, 802, 802, 802, 802, 802, 801, 801, 801, 801, 801, 801, 801, 801, 796, 796, 796, 796, 796, 791, 791, 791, 791, 791, 791, 791, 791, 791, 791, 791, 791, 791, 791, 791, 791, 791, 794, 794, 794, 794, 784, 784, 754, 754, 754, 752, 752, 752, 752, 752, 752, 752, 752, 752, 752, 752, 752, 752, 752, 752, 752, 752, 752, 752, 752, 752, 752, 752, 751, 751, 751, 751, 751, 751, 751, 751, 751, 751, 751, 751, 749, 749, 749, 749, 749, 749, 749, 749, 749, 749, 750, 750, 750, 750, 750, 750, 750, 750, 749, 749, 749, 749, 730, 730, 730, 730, 730, 730, 730, 730, 730, 730, 730, 730, 730, 730, 730, 730, 730, 730, 730, 730, 730, 730, 730, 730, 730, 730, 730, 732, 732, 732, 732, 727, 721, 721, 721, 721, 721, 721, 721, 721, 721, 721, 721, 721, 721, 721, 721, 721, 707, 698, 690, 685, 685, 685, 685, 685, 685, 685, 674, 674, 674, 674, 674, 674, 674, 674, 674, 674, 674, 674, 669, 669, 669, 669, 669, 669, 669, 669, 669, 669, 669, 669, 669, 669, 669, 669, 669, 649, 649, 649, 649, 649, 649, 649, 649, 649, 649, 649, 649, 649, 639, 639, 639, 640, 640, 640, 640, 640, 640, 640, 640, 640, 640, 640, 640, 640, 640, 640, 640, 640, 636, 636, 636, 636, 636, 636, 636, 636, 636, 636, 636, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 605, 605, 605, 605, 605, 605, 605, 605, 605, 605, 605, 605, 604, 604, 604, 601, 601, 601, 601, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 598, 598, 589, 589, 589, 585, 585, 585, 585, 585, 582, 582, 571, 565, 565, 565, 565, 565, 565, 565, 565, 565, 565, 565, 565, 565, 565, 565, 565, 564, 564, 564, 564, 564, 564, 564, 564, 564, 564, 564, 564, 564, 564, 564, 564, 564, 564, 564, 564, 564, 564, 564, 564, 564, 564, 563, 563, 563, 563, 563, 563, 563, 557, 557, 557, 557, 557, 557, 557, 557, 557, 557, 556, 556, 556, 556, 556, 556, 556, 556, 556, 556, 556, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 554, 554, 554, 554, 554, 554, 554, 554, 554, 554, 554, 554, 554, 554, 543, 543, 543, 543, 543, 543, 543, 543, 543, 543, 543, 543, 543, 543, 543, 543, 543, 543, 543, 543, 543, 543, 543, 543, 543, 543, 543, 544, 544, 544, 544, 544, 544, 544, 544, 544, 544, 544, 544, 544, 544, 544, 544, 544, 544, 544, 544, 544, 544, 544, 544, 544, 544, 544, 544, 544, 544, 544, 544, 544, 544, 538, 538, 538, 538, 538, 538, 538, 538, 538, 538, 538, 538, 538, 538, 538, 538, 538, 538, 538, 518, 518, 518, 518, 518, 518, 518, 518, 518, 518, 518, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517]"
2,607,400,78,15,123.814,"[2242, 2196, 2184, 2184, 2178, 2176, 2176, 2075, 2076, 2079, 1976, 1930, 1841, 1835, 1835, 1810, 1809, 1809, 1793, 1791, 1752, 1748, 1748, 1746, 1742, 1742, 1742, 1734, 1734, 1734, 1723, 1711, 1711, 1709, 1709, 1709, 1709, 1709, 1708, 1708, 1708, 1703, 1677, 1666, 1666, 1666, 1658, 1654, 1634, 1624, 1624, 1624, 1616, 1591, 1589, 1589, 1587, 1583, 1583, 1556, 1556, 1556, 1544, 1541, 1503, 1503, 1503, 1503, 1504, 1504, 1504, 1504, 1504, 1504, 1489, 1489, 1481, 1481, 1481, 1481, 1481, 1481, 1481, 1481, 1481, 1474, 1474, 1474, 1474, 1474, 1474, 1474, 1474, 1474, 1474, 1470, 1463, 1463, 1463, 1463, 1463, 1463, 1463, 1463, 1463, 1463, 1462, 1462, 1458, 1458, 1456, 1456, 1451, 1434, 1434, 1420, 1420, 1420, 1419, 1419, 1419, 1419, 1419, 1419, 1419, 1419, 1419, 1419, 1419, 1419, 1419, 1419, 1419, 1419, 1419, 1388, 1370, 1362, 1362, 1362, 1362, 1362, 1362, 1362, 1342, 1342, 1333, 1333, 1333, 1333, 1333, 1320, 1315, 1303, 1303, 1286, 1286, 1286, 1286, 1283, 1283, 1283, 1283, 1283, 1283, 1279, 1279, 1274, 1274, 1274, 1270, 1270, 1270, 1270, 1270, 1267, 1267, 1267, 1266, 1266, 1260, 1260, 1260, 1260, 1260, 1260, 1260, 1260, 1255, 1255, 1255, 1251, 1249, 1249, 1249, 1248, 1248, 1248, 1247, 1247, 1247, 1247, 1247, 1235, 1235, 1235, 1235, 1235, 1235, 1230, 1229, 1210, 1210, 1210, 1202, 1202, 1202, 1197, 1195, 1180, 1180, 1155, 1155, 1155, 1155, 1155, 1155, 1155, 1155, 1155, 1155, 1155, 1155, 1155, 1155, 1155, 1155, 1155, 1155, 1155, 1154, 1135, 1135, 1124, 1124, 1124, 1124, 1124, 1124, 1124, 1124, 1124, 1124, 1124, 1124, 1124, 1124, 1124, 1124, 1124, 1124, 1102, 1102, 1096, 1096, 1096, 1096, 1096, 1096, 1096, 1096, 1089, 1089, 1089, 1089, 1089, 1089, 1089, 1085, 1085, 1075, 1070, 1070, 1070, 1070, 1070, 1070, 1069, 1069, 1069, 1069, 1069, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1063, 1063, 1063, 1063, 1063, 1063, 1066, 1066, 1066, 1066, 1066, 1066, 1066, 1066, 1066, 1066, 1059, 1059, 1059, 1059, 1059, 1059, 1059, 1059, 1059, 1031, 1031, 1016, 1016, 1016, 1016, 1016, 1011, 1008, 1006, 1006, 1006, 1006, 1006, 1005, 992, 992, 992, 992, 994, 994, 994, 994, 994, 994, 974, 974, 974, 974, 974, 974, 957, 957, 959, 959, 959, 959, 959, 959, 959, 956, 956, 956, 956, 956, 956, 956, 956, 956, 947, 947, 947, 947, 947, 947, 941, 941, 941, 941, 941, 941, 941, 914, 914, 914, 910, 902, 902, 905, 905, 905, 905, 905, 903, 889, 889, 884, 884, 884, 884, 884, 870, 870, 870, 868, 868, 868, 868, 868, 868, 868, 868, 868, 868, 862, 862, 862, 862, 862, 854, 848, 848, 848, 848, 848, 844, 842, 842, 842, 842, 842, 842, 842, 838, 838, 838, 838, 838, 838, 838, 838, 828, 828, 828, 823, 823, 823, 823, 819, 819, 819, 819, 819, 819, 819, 819, 819, 812, 803, 803, 803, 803, 803, 803, 803, 803, 803, 805, 805, 805, 805, 805, 799, 799, 797, 791, 791, 791, 791, 791, 791, 790, 790, 790, 790, 790, 790, 790, 790, 789, 789, 789, 789, 789, 789, 789, 789, 789, 789, 789, 789, 789, 780, 780, 780, 780, 779, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 777, 772, 772, 772, 772, 772, 772, 767, 767, 767, 767, 762, 762, 756, 756, 756, 756, 756, 756, 756, 756, 756, 756, 755, 755, 755, 753, 753, 753, 753, 753, 752, 752, 752, 752, 752, 752, 752, 752, 752, 752, 752, 752, 752, 752, 752, 752, 752, 750, 750, 750, 750, 750, 750, 750, 750, 750, 750, 750, 750, 750, 750, 750, 750, 750, 750, 750, 750, 750, 750, 747, 747, 747, 747, 747, 747, 747, 747, 747, 747, 747, 747, 745, 745, 732, 732, 732, 732, 732, 732, 732, 732, 732, 732, 732, 732, 732, 732, 732, 732, 732, 732, 732, 732, 728, 728, 728, 728, 728, 728, 728, 728, 728, 728, 728, 728, 728, 728, 728, 718, 718, 713, 712, 712, 712, 712, 712, 712, 712, 712, 712, 712, 712, 712, 712, 712, 712, 712, 712, 708, 708, 708, 708, 708, 708, 708, 708, 708, 708, 708, 708, 708, 708, 708, 708, 708, 708, 708, 708, 708, 708, 708, 704, 704, 698, 698, 698, 698, 698, 698, 698, 698, 698, 698, 698, 698, 698, 698, 698, 698, 698, 698, 698, 692, 692, 692, 692, 692, 692, 691, 691, 691, 691, 691, 691, 691, 691, 687, 687, 687, 687, 687, 687, 687, 686, 686, 686, 686, 686, 686, 686, 686, 686, 686, 686, 686, 686, 686, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 679, 679, 679, 678, 678, 678, 678, 678, 678, 678, 678, 678, 662, 659, 659, 659, 659, 658, 658, 658, 658, 658, 654, 654, 654, 654, 654, 654, 654, 654, 654, 654, 654, 654, 654, 654, 654, 654, 654, 654, 654, 654, 646, 646, 646, 646, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 642, 642, 642, 642, 642, 642, 642, 642, 642, 642, 642, 642, 642, 642, 642, 636, 636, 636, 636, 636, 636, 636, 636, 636, 636, 636, 636, 636, 636, 636, 636, 636, 636, 636, 636, 636, 624, 624, 624, 624, 624, 620, 620, 620, 620, 620, 620, 620, 620, 620, 620, 620, 620, 613, 613, 613, 613, 613, 613, 613, 613, 613, 613, 613, 613, 613, 613, 613, 613, 613, 613, 613, 613, 613, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 607, 607, 607, 607, 607, 607, 607, 607, 607, 607, 607, 607, 607, 607, 607, 607, 607, 607]"
