middle days,"[526, 477, 535, 519, 482, 482, 495, 465, 460, 517, 493, 441, 452, 511, 440, 519, 466, 559, 450, 492]"
niddle balance,"[543, 502, 492, 526, 557, 571, 516, 518, 588, 519, 575, 574, 545, 523, 515, 565, 561, 656, 549, 504]"
