1,"[638, 527, 545, 604, 585, 594, 559, 588, 539, 475, 488, 603, 545, 528, 604, 608, 562, 562, 669, 589]"
5,"[666, 592, 534, 595, 584, 576, 572, 572, 586, 609, 586, 577, 566, 617, 539, 536, 605, 587, 614, 574]"
10,"[804, 720, 693, 730, 801, 718, 759, 716, 686, 769, 783, 739, 638, 803, 725, 722, 653, 776, 699, 817]"
20,"[1135, 1185, 1003, 908, 1037, 1019, 1046, 1150, 1044, 979, 1010, 993, 1005, 1122, 951, 1084, 976, 1207, 1069, 1039]"
40,"[1351]"
