middle days,"[518, 511, 514, 504, 543, 468, 548, 499, 486, 526, 454, 490, 534, 532, 539, 524, 466, 485, 477, 519]"
middle balance,"[533, 580, 528, 601, 488, 571, 456, 551, 538, 533, 561, 509, 529, 542, 552, 556, 521, 597, 632, 569]"
